SEQ='NA'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 141171768.6  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 142868363.9 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    72    81    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  3318872.9*
    73    84    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  3328913.4*
    74    85    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  3328931.2*
    75    86    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  3331568.2*
    76    87    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  3332485.4*
    77    89    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  3335370.3*
    78    90    1S2 2S2 2P5 3P1 3D1 (4)0( 1.5)  3336146.4*
    79    91    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  3339204.4*
    80    92    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  3341430.2*
    81    93    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  3343921.6*
    82    96    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  3348126.6*
    83    98    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  3348168.5*
    84    99    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  3349105.0*
    85   102    1S2 2S2 2P5 3P1 3D1 (4)3( 2.5)  3352291.6*
    86   103    1S2 2S2 2P5 3P1 3D1 (4)2( 2.5)  3355480.1*
    87   105    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  3357072.2*
    88   106    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  3360288.0*
    89   107    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  3362089.5*
    90   108    1S2 2S2 2P5 3P1 3D1 (4)2( 0.5)  3364762.9*
    91   109    1S2 2S2 2P5 3P1 3D1 (4)2( 1.5)  3371800.5*
    92   110    1S2 2S2 2P5 3P1 3D1 (4)1( 0.5)  3372403.1*
    93   111    1S2 2S2 2P5 3P1 3D1 (4)3( 1.5)  3378162.1*
    94   112    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  3379287.9*
    95   113    1S2 2S2 2P5 3P1 3D1 (4)1( 1.5)  3384742.3*
    96   114    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  3384994.6*
    97   115    1S2 2S2 2P5 3P1 3D1 (4)1( 2.5)  3385220.2*
    98   117    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  3386476.4*
    99   118    1S2 2S2 2P5 3P1 3D1 (2)3( 2.5)  3387281.9*
   100   119    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  3393527.1*
   101   120    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  3399307.2*
   102   122    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  3402003.8*
   103   123    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  3407905.2*
   104   124    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  3409768.5*
   105   126    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  3426084.4*
   106   127    1S2 2S2 2P5 3P1 3D1 (2)1( 1.5)  3429802.3*
   107   128    1S2 2S2 2P5 3P1 3D1 (2)0( 0.5)  3434276.4*
   108   130    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  3447778.9*
   109   131    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  3453471.1*
   110   132    1S2 2S2 2P5 3P1 3D1 (2)1( 0.5)  3458984.0*
   111   133    1S2 2S1 2P6 3S2     (2)0( 0.5)  3502189.4*
   112   134    1S2 2S2 2P5 3P1 3D1 (2)2( 1.5)  3506842.6*
   113   135    1S2 2S2 2P5 3P1 3D1 (2)2( 2.5)  3509182.7*
   114   136    1S2 2S2 2P5 3D2     (4)2( 0.5)  3563794.4*
   115   137    1S2 2S2 2P5 3D2     (4)2( 1.5)  3564920.1*
   116   138    1S2 2S2 2P5 3D2     (4)2( 2.5)  3566858.1*
   117   139    1S2 2S2 2P5 3D2     (4)2( 3.5)  3570194.6*
   118   142    1S2 2S2 2P5 3D2     (4)4( 3.5)  3579343.7*
   119   143    1S2 2S2 2P5 3D2     (2)3( 2.5)  3581300.0*
   120   145    1S2 2S2 2P5 3D2     (2)4( 3.5)  3585766.9*
   121   146    1S2 2S2 2P5 3D2     (4)1( 2.5)  3587801.7*
   122   147    1S2 2S2 2P5 3D2     (4)3( 1.5)  3588185.6*
   123   148    1S2 2S2 2P5 3D2     (4)3( 2.5)  3591373.0*
   124   149    1S2 2S2 2P5 3D2     (4)1( 1.5)  3593161.3*
   125   150    1S2 2S2 2P5 3D2     (4)1( 0.5)  3597372.8*
