SEQ='MG'     NUCCHG=26                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 255933470.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   274947.4 
     3          2S2 2P6 3P1         (2)1( 1.5)   295123.4 
     4          2S2 2P6 3D1         (2)2( 1.5)   679003.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   683387.1 

   IC RESOLVED LEVEL INDEXING           BWNR= 259585121.1 NLVL=  1120
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    75   635    2S2 2P5 3S1 3P2     (1)2( 2.0)  6297506.0*
    76   636    2S2 2P5 3S1 3P2     (1)3( 3.0)  6297647.8*
    77   637    2S2 2P5 3S1 3P2     (3)2( 1.0)  6298457.8*
    78   638    2S2 2P5 3S1 3P2     (1)0( 0.0)  6311369.5*
    79   639    2S2 2P5 3S2 3D1     (3)1( 1.0)  6314357.2*
    80   640    2S2 2P5 3S2 3D1     (3)1( 2.0)  6344029.0*
    81   641    2S2 2P5 3S1 3P2     (3)2( 1.0)  6349558.0*
    82   642    2S2 2P5 3S2 3D1     (3)1( 0.0)  6357573.6*
    83   643    2S2 2P5 3S2 3D1     (3)3( 4.0)  6363058.2*
    84   644    2S2 2P5 3S2 3D1     (3)3( 3.0)  6367928.9*
    85   645    2S2 2P5 3S1 3P2     (3)0( 1.0)  6372822.0*
    86   646    2S2 2P5 3S1 3P2     (3)1( 0.0)  6375276.4*
    87   647    2S2 2P5 3S2 3D1     (3)2( 2.0)  6380683.1*
    88   648    2S2 2P5 3S1 3P2     (1)1( 1.0)  6383702.1*
    89   649    2S2 2P5 3S2 3D1     (3)2( 3.0)  6386999.5*
    90   650    2S2 2P5 3S1 3P2     (3)2( 2.0)  6387992.3*
    91   651    2S2 2P5 3S1 3P2     (3)1( 0.0)  6398573.9*
    92   652    2S2 2P5 3S1 3P2     (3)1( 1.0)  6400260.8*
    93   653    2S2 2P5 3S1 3P2     (3)1( 2.0)  6407189.9*
    94   654    2S2 2P5 3S2 3D1     (3)2( 1.0)  6421610.9*
    95    27    2S2 2P5 3P3         (1)1( 1.0)  6443653.8*
    96    28    2S2 2P5 3P3         (3)2( 3.0)  6444773.3*
    97    29    2S2 2P5 3P3         (3)2( 2.0)  6453035.8*
    98    30    2S2 2P5 3P3         (5)1( 3.0)  6456312.2*
    99    31    2S2 2P5 3P3         (3)1( 0.0)  6457579.3*
   100    32    2S2 2P5 3P3         (3)3( 4.0)  6457804.0*
   101    33    2S2 2P5 3P3         (3)1( 1.0)  6458233.4*
   102    34    2S2 2P5 3P3         (1)3( 3.0)  6463745.0*
   103    35    2S2 2P5 3P3         (5)1( 2.0)  6465223.8*
   104   655    2S2 2P5 3S2 3D1     (3)3( 2.0)  6466066.1*
   105   656    2S2 2P5 3S1 3P2     (1)1( 1.0)  6473438.3*
   106   657    2S2 2P5 3S2 3D1     (1)3( 3.0)  6475138.9*
   107   658    2S2 2P5 3S2 3D1     (1)2( 2.0)  6477726.5*
   108    36    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  6478569.2*
   109    37    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  6482121.1*
   110    38    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  6489419.6*
   111    39    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  6500173.2*
   112    40    2S2 2P5 3P3         (3)2( 1.0)  6501251.5*
   113    41    2S2 2P5 3P3         (1)2( 2.0)  6505195.3*
   114    42    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  6512421.8*
   115    43    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  6516754.6*
   116    45    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  6519846.4*
   117    46    2S2 2P5 3P3         (3)0( 1.0)  6520773.2*
   118    47    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  6522327.1*
   119   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  6523375.0*
   120    48    2S2 2P5 3P3         (3)2( 3.0)  6525060.6*
   121    49    2S2 2P5 3P3         (3)2( 2.0)  6529470.0*
   122    50    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  6532831.1*
   123    51    2S2 2P5 3P3         (5)1( 1.0)  6533201.9*
   124    52    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  6544351.2*
   125    53    2S2 2P5 3P3         (3)1( 0.0)  6544845.4*
   126    54    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  6547425.9*
   127    55    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  6547605.4*
   128    56    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  6550940.5*
   129    57    2S2 2P5 3P3         (3)3( 2.0)  6551609.1*
   130    58    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  6552512.9*
   131    59    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  6556049.8*
   132    60    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  6556639.5*
   133    61    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  6556982.6*
   134    62    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  6557868.3*
   135    63    2S2 2P5 3P3         (3)3( 3.0)  6559714.5*
   136    64    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  6561028.9*
   137    65    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  6561269.0*
   138    66    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  6566155.3*
   139    67    2S2 2P5 3P3         (1)1( 1.0)  6566163.2*
   140    68    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  6570548.9*
   141    69    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  6571601.7*
   142    70    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  6575200.5*
   143    71    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  6575278.8*
   144    72    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  6579286.0*
   145    73    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  6580791.1*
   146    74    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  6582842.8*
   147    75    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  6584903.4*
   148    76    2S2 2P5 3P3         (3)1( 2.0)  6586146.5*
   149    77    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  6586338.5*
   150    78    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  6587754.8*
   151    79    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  6589466.4*
   152    80    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  6592713.4*
   153    81    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  6593249.1*
   154    82    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  6595895.0*
   155    83    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  6596811.1*
   156    84    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  6598048.8*
   157    85    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  6600323.6*
   158    86    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  6600558.9*
   159    87    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  6608708.2*
   160    88    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  6609277.1*
   161    89    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  6610527.6*
   162    90    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  6611456.9*
   163    91    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  6615647.6*
   164    92    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  6616744.2*
   165    93    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  6619193.1*
   166    94    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  6619736.8*
   167    95    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  6620841.2*
   168    96    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  6621309.7*
   169    97    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  6624034.1*
   170    98    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  6624807.4*
   171    99    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  6625730.6*
   172   100    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  6627560.8*
   173   101    2S2 2P5 3P3         (3)2( 1.0)  6629929.9*
   174   102    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  6630955.4*
