SEQ='MG'     NUCCHG=22                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 176834102.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   207222.1 
     3          2S2 2P6 3P1         (2)1( 1.5)   215619.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   505958.9 
     5          2S2 2P6 3D1         (2)2( 2.5)   507555.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 178956323.0 NLVL=  1117
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    76   637    2S2 2P5 3S1 3P2     (1)2( 2.0)  4016208.4*
    77   638    2S2 2P5 3S1 3P2     (3)1( 0.0)  4025273.9*
    78   639    2S2 2P5 3S2 3D1     (3)1( 1.0)  4027875.1*
    79   640    2S2 2P5 3S2 3D1     (3)1( 2.0)  4046222.1*
    80   641    2S2 2P5 3S1 3P2     (3)2( 1.0)  4046301.3*
    81   642    2S2 2P5 3S1 3P2     (3)1( 0.0)  4050605.6*
    82   643    2S2 2P5 3S1 3P2     (1)1( 1.0)  4055319.2*
    83   644    2S2 2P5 3S1 3P2     (1)0( 0.0)  4058116.6*
    84   645    2S2 2P5 3S1 3P2     (3)0( 1.0)  4064163.1*
    85   646    2S2 2P5 3S1 3P2     (3)2( 2.0)  4064247.3*
    86   647    2S2 2P5 3S2 3D1     (3)3( 4.0)  4072756.3*
    87   648    2S2 2P5 3S2 3D1     (3)3( 3.0)  4076924.7*
    88   649    2S2 2P5 3S2 3D1     (3)2( 2.0)  4085625.2*
    89   650    2S2 2P5 3S1 3P2     (3)1( 0.0)  4088948.1*
    90   651    2S2 2P5 3S2 3D1     (3)2( 3.0)  4089299.7*
    91   652    2S2 2P5 3S1 3P2     (3)1( 1.0)  4089923.9*
    92   653    2S2 2P5 3S1 3P2     (3)1( 2.0)  4094068.0*
    93   654    2S2 2P5 3S2 3D1     (3)2( 1.0)  4108118.3*
    94   655    2S2 2P5 3S2 3D1     (3)3( 2.0)  4123753.5*
    95    27    2S2 2P5 3P3         (1)1( 1.0)  4124283.9*
    96    28    2S2 2P5 3P3         (3)2( 3.0)  4124645.4*
    97   656    2S2 2P5 3S2 3D1     (1)3( 3.0)  4128383.0*
    98    29    2S2 2P5 3P3         (3)2( 2.0)  4128867.0*
    99   657    2S2 2P5 3S2 3D1     (1)2( 2.0)  4131909.6*
   100    30    2S2 2P5 3P3         (3)3( 4.0)  4132673.4*
   101    31    2S2 2P5 3P3         (5)1( 3.0)  4133442.2*
   102    32    2S2 2P5 3P3         (3)1( 0.0)  4133485.0*
   103    33    2S2 2P5 3P3         (3)1( 1.0)  4133522.3*
   104   658    2S2 2P5 3S1 3P2     (1)1( 1.0)  4135838.2*
   105    34    2S2 2P5 3P3         (1)3( 3.0)  4137620.3*
   106    35    2S2 2P5 3P3         (5)1( 2.0)  4139759.3*
   107    36    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  4154641.1*
   108    37    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  4156409.6*
   109    38    2S2 2P5 3P3         (3)2( 1.0)  4157013.9*
   110    39    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  4160086.4*
   111    40    2S2 2P5 3P3         (3)1( 2.0)  4161358.9*
   112    41    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  4165766.2*
   113   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  4167834.2*
   114    42    2S2 2P5 3P3         (5)1( 1.0)  4173054.6*
   115    43    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  4173063.9*
   116    44    2S2 2P5 3P3         (3)3( 2.0)  4173989.1*
   117    45    2S2 2P5 3P3         (3)3( 3.0)  4177527.1*
   118    47    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  4179019.8*
   119    48    2S2 2P5 3P3         (3)0( 1.0)  4180911.5*
   120    49    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  4181697.6*
   121    50    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  4185156.8*
   122    51    2S2 2P5 3P3         (3)2( 3.0)  4187377.4*
   123    52    2S2 2P5 3P3         (3)2( 2.0)  4190313.3*
   124    53    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  4191636.3*
   125    54    2S2 2P5 3P3         (3)1( 0.0)  4198879.5*
   126    55    2S2 2P5 3P3         (1)1( 1.0)  4201140.0*
   127    56    2S2 2P5 3P3         (3)1( 2.0)  4202841.4*
   128    57    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  4203652.1*
   129    58    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  4204346.0*
   130    59    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  4204754.0*
   131    60    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  4205350.0*
   132    61    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  4205631.7*
   133    62    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  4207227.4*
   134    63    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  4209542.2*
   135    64    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  4210853.8*
   136    65    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  4212831.5*
   137    66    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  4213200.7*
   138    67    2S2 2P5 3P3         (3)1( 1.0)  4213523.4*
   139    68    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  4215895.5*
   140    69    2S2 2P5 3P3         (1)2( 2.0)  4216772.3*
   141    70    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4221182.9*
   142    71    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  4222239.8*
   143    72    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  4222691.7*
   144    73    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  4226209.1*
   145    74    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  4227032.2*
   146    75    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  4227195.3*
   147    76    2S2 2P5 3P3         (3)2( 1.0)  4228788.9*
   148    77    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  4231277.2*
   149    78    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4231401.0*
   150    79    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  4232859.0*
   151    80    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  4233428.8*
   152    81    2S2 2P5 3P3         (3)1( 0.0)  4234631.5*
   153    82    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  4235322.5*
   154    83    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  4237345.1*
   155    84    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4237683.8*
   156    85    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  4237854.4*
   157    86    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  4240187.9*
   158    87    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  4241254.6*
