SEQ='MG'     NUCCHG=27                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 278051087.5  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   291866.0 
     3          2S2 2P6 3P1         (2)1( 1.5)   316289.0 
     4          2S2 2P6 3D1         (2)2( 1.5)   723251.0 
     5          2S2 2P6 3D1         (2)2( 2.5)   728686.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 282147785.7 NLVL=  1122
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    75   635    2S2 2P5 3S1 3P2     (3)2( 1.0)  6950208.7*
    76   636    2S2 2P5 3S1 3P2     (1)2( 2.0)  6953777.9*
    77   637    2S2 2P5 3S1 3P2     (1)3( 3.0)  6957104.3*
    78   638    2S2 2P5 3S1 3P2     (1)0( 0.0)  6959569.9*
    79   639    2S2 2P5 3S2 3D1     (3)1( 1.0)  6964897.3*
    80   640    2S2 2P5 3S2 3D1     (3)1( 2.0)  6996080.8*
    81   641    2S2 2P5 3S1 3P2     (3)2( 1.0)  7004217.8*
    82   642    2S2 2P5 3S2 3D1     (3)1( 0.0)  7008871.5*
    83   643    2S2 2P5 3S2 3D1     (3)3( 4.0)  7011881.3*
    84   644    2S2 2P5 3S2 3D1     (3)3( 3.0)  7016673.0*
    85   645    2S2 2P5 3S1 3P2     (3)0( 1.0)  7026946.4*
    86   646    2S2 2P5 3S2 3D1     (1)2( 2.0)  7030869.9*
    87   647    2S2 2P5 3S2 3D1     (3)2( 3.0)  7037683.1*
    88   648    2S2 2P5 3S1 3P2     (3)1( 0.0)  7038145.2*
    89   649    2S2 2P5 3S1 3P2     (3)2( 2.0)  7046986.0*
    90   650    2S2 2P5 3S1 3P2     (1)1( 1.0)  7047566.4*
    91   651    2S2 2P5 3S1 3P2     (3)1( 0.0)  7057549.0*
    92   652    2S2 2P5 3S1 3P2     (3)1( 1.0)  7060317.7*
    93   653    2S2 2P5 3S1 3P2     (3)1( 2.0)  7068508.2*
    94   654    2S2 2P5 3S2 3D1     (3)2( 1.0)  7077165.7*
    95    27    2S2 2P5 3P3         (1)1( 1.0)  7100314.0*
    96    28    2S2 2P5 3P3         (3)2( 3.0)  7101627.9*
    97    29    2S2 2P5 3P3         (3)2( 2.0)  7111522.6*
    98    30    2S2 2P5 3P3         (5)1( 3.0)  7114548.2*
    99    31    2S2 2P5 3P3         (3)1( 0.0)  7116001.4*
   100    32    2S2 2P5 3P3         (3)3( 4.0)  7116536.5*
   101    33    2S2 2P5 3P3         (3)1( 1.0)  7116887.7*
   102    34    2S2 2P5 3P3         (1)3( 3.0)  7122606.4*
   103    35    2S2 2P5 3P3         (5)1( 2.0)  7123411.1*
   104   655    2S2 2P5 3S2 3D1     (3)3( 2.0)  7132787.7*
   105    36    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  7135889.0*
   106   656    2S2 2P5 3S1 3P2     (1)1( 1.0)  7138154.2*
   107    37    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  7139952.5*
   108   657    2S2 2P5 3S2 3D1     (1)3( 3.0)  7143233.9*
   109   658    2S2 2P5 3S2 3D1     (3)2( 2.0)  7145477.2*
   110    38    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  7148392.6*
   111    39    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  7160726.1*
   112    40    2S2 2P5 3P3         (3)2( 1.0)  7164902.0*
   113    41    2S2 2P5 3P3         (1)2( 2.0)  7168490.2*
   114    42    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  7173922.9*
   115    43    2S2 2P5 3S1 3P1 3D1 (5)4( 5.0)  7178161.0*
   116    45    2S2 2P5 3S1 3P1 3D1 (5)4( 4.0)  7181526.3*
   117    46    2S2 2P5 3S1 3P1 3D1 (5)4( 3.0)  7183207.8*
   118    47    2S2 2P5 3P3         (3)0( 1.0)  7183576.8*
   119    48    2S2 2P5 3P3         (3)2( 3.0)  7188792.2*
   120   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  7193112.2*
   121    49    2S2 2P5 3P3         (3)2( 2.0)  7193581.1*
   122    50    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  7195303.2*
   123    51    2S2 2P5 3P3         (5)1( 1.0)  7200204.3*
   124    52    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  7206650.3*
   125    53    2S2 2P5 3P3         (3)1( 0.0)  7208244.5*
   126    54    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  7210128.3*
   127    55    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  7211120.9*
   128    56    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  7213511.4*
   129    57    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  7215914.1*
   130    58    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  7218998.1*
   131    59    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  7220787.9*
   132    60    2S2 2P5 3P3         (3)1( 2.0)  7221212.4*
