       6          41
   0.00000   0.23026   0.46052   0.69078   0.92103   1.15129   1.38155   1.61181   1.84207   2.07233   2.30259   2.53284   2.76310   2.99336   3.22362   3.45388   3.68414   3.91439   4.14465   4.37491   4.60517   4.83543   5.06569   5.29595   5.52620   5.75646   5.98672   6.21698   6.44724   6.67750   6.90776   8.05905   9.21034  10.36163  11.51293  12.66422  13.81551  14.96680  16.11810  17.26939  18.42068
   1   0  -0.22652  -0.15695  -0.10145  -0.05979  -0.03029  -0.01218  -0.00431  -0.00618  -0.01693  -0.03605  -0.06309  -0.09742  -0.13871  -0.18639  -0.23995  -0.29910  -0.36334  -0.43239  -0.50588  -0.58321  -0.66410  -0.74849  -0.83593  -0.92605  -1.01870  -1.11361  -1.21060  -1.30961  -1.41030  -1.51241  -1.61580  -2.14921  -2.70083  -3.26281  -3.83125  -4.40257  -4.97536  -5.55000  -6.12519  -6.70006  -7.27506
   2   0  -0.06763   0.13499   0.31778   0.48450   0.63349   0.76541   0.88104   0.98078   1.06519   1.13487   1.19032   1.23224   1.26134   1.27846   1.28433   1.27937   1.26456   1.24060   1.20806   1.16772   1.12029   1.06623   1.00624   0.94073   0.87018   0.79528   0.71630   0.63333   0.54698   0.45779   0.36603  -0.12514  -0.65258  -1.20099  -1.76115  -2.32831  -2.89907  -3.47178  -4.04592  -4.62080  -5.19604
   2   1  -0.15466  -0.17766  -0.21772  -0.27546  -0.35018  -0.44153  -0.54945  -0.67352  -0.81324  -0.96857  -1.13809  -1.32212  -1.51965  -1.72968  -1.95140  -2.18440  -2.42757  -2.68014  -2.94156  -3.21118  -3.48812  -3.77175  -4.06143  -4.35690  -4.65765  -4.96282  -5.27196  -5.58483  -5.90097  -6.22007  -6.54200  -8.18479  -9.86311 -11.56269 -13.27399 -14.99264 -16.71479 -18.43880 -20.16418 -21.89025 -23.61664
   3   0   0.06015   0.27699   0.48406   0.67912   0.86325   1.03624   1.19706   1.34526   1.48019   1.60162   1.70910   1.80234   1.88172   1.94694   1.99862   2.03727   2.06338   2.07754   2.08044   2.07282   2.05558   2.02911   1.99415   1.95148   1.90177   1.84563   1.78364   1.71611   1.64379   1.56725   1.48670   1.03677   0.53298  -0.00228  -0.55472  -1.11739  -1.68578  -2.25738  -2.83050  -3.40487  -3.97977
   3   1   0.09348   0.21080   0.30365   0.37372   0.41985   0.44284   0.44285   0.42036   0.37542   0.30917   0.22234   0.11533  -0.01082  -0.15516  -0.31665  -0.49428  -0.68700  -0.89385  -1.11376  -1.34569  -1.58838  -1.84121  -2.10322  -2.37350  -2.65132  -2.93605  -3.22703  -3.52391  -3.82582  -4.13208  -4.44235  -6.04198  -7.69719  -9.38282 -11.08698 -12.80079 -14.52033 -16.24310 -17.96756 -19.69335 -21.41962
   3   2  -0.27102  -0.38295  -0.51936  -0.67964  -0.86427  -1.07260  -1.30476  -1.55985  -1.83749  -2.13722  -2.45772  -2.79776  -3.15821  -3.53496  -3.92975  -4.34041  -4.76554  -5.20443  -5.65638  -6.12034  -6.59458  -7.07819  -7.57086  -8.07211  -8.58081  -9.09619  -9.61773 -10.14520 -10.67770 -11.21451 -11.75525 -14.50646 -17.31311 -20.14968 -23.00521 -25.87019 -28.74150 -31.61569 -34.49134 -37.36841 -40.24596
   4   0   0.16467   0.38226   0.59282   0.79533   0.99138   1.17975   1.35972   1.53081   1.69208   1.84277   1.98174   2.10849   2.22229   2.32228   2.40859   2.48156   2.54131   2.58755   2.62059   2.64154   2.65098   2.64907   2.63693   2.61540   2.58516   2.54696   2.50133   2.44855   2.38948   2.32475   2.25495   1.84540   1.36464   0.84352   0.29792  -0.25991  -0.82595  -1.39622  -1.96866  -2.54251  -3.11728
   4   1   0.21994   0.38456   0.53038   0.65757   0.76569   0.85290   0.91849   0.96237   0.98349   0.98219   0.95816   0.91167   0.84320   0.75438   0.64467   0.51497   0.36725   0.20225   0.02067  -0.17603  -0.38668  -0.61057  -0.84620  -1.09246  -1.34859  -1.61384  -1.88719  -2.16787  -2.45509  -2.74842  -3.04732  -4.60526  -6.23682  -7.90892  -9.60556 -11.31491 -13.03188 -14.75370 -16.47739 -18.20247 -19.92853
   4   2   0.12310   0.15597   0.15857   0.12935   0.07003  -0.02062  -0.14224  -0.29354  -0.47460  -0.68391  -0.92086  -1.18442  -1.47343  -1.78531  -2.11958  -2.47584  -2.85147  -3.24525  -3.65599  -4.08142  -4.52200  -4.97836  -5.44471  -5.91471  -6.40295  -6.93485  -7.47252  -7.97118  -8.45027  -8.94513  -9.46828 -12.19418 -14.97741 -17.80083 -20.64820 -23.50866 -26.37733 -29.25056 -32.12549 -35.00187 -37.87926
   4   3  -0.50517  -0.70153  -0.92907  -1.18775  -1.47725  -1.79814  -2.14990  -2.53144  -2.94300  -3.38291  -3.85038  -4.34454  -4.86420  -5.40622  -5.97106  -6.55803  -7.16385  -7.78757  -8.42861  -9.08514  -9.75593 -10.44032 -11.13653 -11.84318 -12.55954 -13.28520 -14.01915 -14.76046 -15.50822 -16.26196 -17.02109 -20.88133 -24.81606 -28.79106 -32.79011 -36.80079 -40.82180 -44.84577 -48.87212 -52.89992 -56.92862
